image,text,generated
./blip/data/normal/3780768589.jpg,four different men sitting outside on cement steps in front of a building.,men sitting on steps outside of a building.
./blip/data/normal/4786476156.jpg,a man with an orange shirt and sunglasses along with a young boy and train conductor ride a children's train through a park.,a group of people and a baby are riding in a train.
./blip/data/normal/4789309483.jpg,a man in a black hat and blue shirt taking a picture on the side of an urban street.,a man in a hat is taking a picture in the middle of the street.
./blip/data/normal/4578856261.jpg,a guy with a backpack and orange bag walks past a large building.,a man with a backpack and a hanging bag is walking down the street.
./blip/data/normal/3335965982.jpg,a man in a black shirt next to a laptop and in front of a screen is looking off to the side.,a man is sitting at a table and looking at a presentation on a laptop.
./blip/data/normal/4637951374.jpg,"eleven people gather in lake, group on left are male and conversing, group on right, male and female, walking further out into lake.",a group of people in bathing suits are in the water.
./blip/data/normal/4464247181.jpg,a woman sitting on a bench next to someone wearing a hat and sitting in a wheelchair.,a woman in a wheelchair is reading a book while another sits on a bench.
./blip/data/normal/3721102409.jpg,a man in a green t-shirts holds his sneakers while walking alone down a beach.,a man wearing a green t-shirt and shorts walks along a beach with the ocean in the background.
./blip/data/normal/5498941021.jpg,a man in a white hoodie is sitting on top of bamboo scaffolding near the roof of a building holding a spade.,in this scenario. a man wearing white robe and a white hat is standing on the top of a wooden ledge with a bright blue sky in the middle of the work area.
./blip/data/normal/221586389.jpg,a group of young people are listening to a man in a blue shirt telling them about brazil.,a man is speaking to a group of people on a wooden bench.
./blip/data/normal/4952001654.jpg,overhead shot of 2 teenagers both looking at a shirt being held up by one of them.,a couple is looking at something in a circular area.
./blip/data/normal/164969525.jpg,"three people dancing acrobatically in a subway station, with one girl in a skirt doing a cartwheel over another person bending over.",a man and woman doing a trick on the street.
./blip/data/normal/4494095559.jpg,"a man on a skateboard waits at the corner of a city street, with an overpass in the background.",a man is skating down a street.
./blip/data/normal/7764093618.jpg,"two women sit on a brown scooter, one is wearing blue jeans and a brown jacket, the other is carrying a bag and has on black pants and a black top with a green hat.",a woman and baby sitting on a motorcycle.
./blip/data/normal/702083815.jpg,a baseball pitcher is halfway through his motion of throwing the ball.,a baseball player is throwing a pitch while the umpire watches.
